                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9817,                   1.75,                 2.0288,                 1.9578,                  1.963,                 1.9462,                0.52779,                0.49867,                0.50605,                0.20313,                 1.9544,                 1.7262,                 1.9172,                 1.9116,                 1.9245,                 1.7956,               0.067723,             0.00099825,             0.00099825
                      2,                 2.0313,                 1.9081,                 2.1155,                 1.9868,                 2.1963,                 2.0058,                0.55764,                 0.4695,                0.50398,                0.19181,                  1.956,                 1.7387,                 1.9138,                 1.9651,                 1.9572,                 1.8187,               0.035192,              0.0018004,              0.0018004
                      3,                  2.051,                 1.8926,                 2.1036,                 2.0095,                 2.1428,                 1.9806,                0.58019,                 0.5305,                0.55263,                0.20903,                 2.0062,                 1.7074,                 1.9585,                 2.0597,                 1.8789,                 1.8579,               0.002463,              0.0024046,              0.0024046
                      4,                 2.0548,                 1.8882,                 2.1473,                 2.0052,                 2.1869,                 1.9966,                0.56783,                0.50133,                0.54572,                0.22788,                 1.9136,                 1.5223,                 1.9283,                 1.8528,                 1.7727,                 1.7923,               0.002109,               0.002109,               0.002109
                      5,                 2.0291,                 1.8295,                 2.0669,                 1.9599,                 2.1413,                 1.9355,                0.51621,                0.44828,                0.45834,                0.17069,                 2.0503,                 1.7132,                 2.0352,                 2.0316,                 1.9473,                 1.9007,               0.002109,               0.002109,               0.002109
                      6,                 1.9791,                 1.7544,                 2.0574,                 1.9533,                 2.0402,                 1.9514,                0.57818,                0.50398,                0.55197,                0.24505,                 1.8376,                 1.6055,                 1.7898,                  1.804,                  1.782,                 1.6465,               0.001812,               0.001812,               0.001812
                      7,                 1.9686,                 1.7424,                 2.0187,                 1.9349,                 1.9812,                 1.9224,                0.46204,                0.51459,                0.49437,                0.19602,                 1.9518,                  1.608,                 1.8615,                 1.9115,                 1.8194,                 1.7629,               0.001515,               0.001515,               0.001515
                      8,                 1.9042,                 1.6601,                 1.9617,                 1.9033,                 1.8955,                 1.8646,                0.56021,                0.55703,                0.58838,                0.26188,                 1.7997,                 1.4966,                 1.7971,                 1.7536,                  1.651,                 1.6621,               0.001218,               0.001218,               0.001218
                      9,                 1.8798,                 1.5895,                 1.9498,                 1.8317,                 1.8156,                 1.8269,                0.56526,                0.59416,                0.60731,                0.28592,                 1.7301,                 1.4132,                 1.7489,                 1.6972,                 1.5781,                 1.6072,               0.000921,               0.000921,               0.000921
                     10,                 1.8327,                 1.5438,                 1.9005,                  1.803,                 1.7702,                 1.7886,                0.64075,                0.53461,                0.62657,                0.27782,                 1.8186,                 1.4162,                 1.7704,                 1.8312,                 1.5565,                 1.6428,               0.000624,               0.000624,               0.000624
