                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.34359,                0.31964,                0.84076,                0.98552,                0.93379,                0.97932,                0.87612,                    nan,                    nan,                    nan,              0.0005348,              0.0005348,              0.0005348
                     39,                0.34212,                0.31588,                0.84534,                 0.9761,                0.93237,                0.97458,                0.86983,                    nan,                    nan,                    nan,              0.0004952,              0.0004952,              0.0004952
                     40,                0.32761,                0.29401,                0.86016,                0.96128,                0.96347,                0.97969,                0.88547,                    nan,                    nan,                    nan,              0.0004556,              0.0004556,              0.0004556
                     41,                0.25412,                0.32387,                0.77758,                0.98885,                0.92694,                0.97567,                0.87732,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     42,                0.24213,                0.27831,                 0.7606,                0.98096,                0.94092,                0.97899,                0.87737,                    nan,                    nan,                    nan,              0.0003764,              0.0003764,              0.0003764
                     43,                0.25635,                0.29282,                0.77434,                0.98045,                0.91581,                0.96843,                0.87969,                    nan,                    nan,                    nan,              0.0003368,              0.0003368,              0.0003368
                     44,                0.27974,                0.27721,                0.78853,                0.98076,                0.93128,                 0.9731,                0.87953,                    nan,                    nan,                    nan,              0.0002972,              0.0002972,              0.0002972
                     45,                0.23589,                0.26022,                0.77699,                0.97842,                0.93161,                 0.9733,                0.87908,                    nan,                    nan,                    nan,              0.0002576,              0.0002576,              0.0002576
                     46,                0.23421,                 0.2572,                0.79241,                0.98788,                 0.9307,                0.97382,                0.88318,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     47,                0.21553,                0.23021,                0.78101,                0.96092,                0.95434,                0.97469,                0.87974,                    nan,                    nan,                    nan,              0.0001784,              0.0001784,              0.0001784
                     48,                0.22029,                 0.2314,                0.77548,                0.98395,                0.93607,                0.97497,                0.88423,                    nan,                    nan,                    nan,              0.0001388,              0.0001388,              0.0001388
                     49,                0.21309,                0.22872,                0.74859,                0.98233,                0.93836,                0.97471,                0.88244,                    nan,                    nan,                    nan,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.21214,                0.21769,                0.77945,                0.98329,                0.93607,                0.97475,                0.88187,                    nan,                    nan,                    nan,               5.96e-05,               5.96e-05,               5.96e-05
